stationName,latitude,longitude,statusValue
Washington Ave and Cross Bronx Expressway Service Rd ,40.8441,-73.8998,Proposed
3rd Ave and East 174th St,40.8423,-73.8983,Proposed
Washington Av and East 173rd St,40.8417,-73.9011,Proposed
Park Ave and Between East 173rd St and East 172nd St,40.8414,-73.9029,Proposed
Crotona Ave,40.8396,-73.8959,Proposed
Crotona Pl and East 171st St,40.8368,-73.9011,Proposed
Park Ave and St Pauls Pl,40.8365,-73.9054,Proposed
Washington Ave and East 170th St,40.8353,-73.9047,Proposed
Fulton Ave and East 170th St,40.8347,-73.9018,Proposed
Crotona Ave and Cortona Park S,40.8346,-73.8981,Proposed
Union Ave and Boston Rd,40.8318,-73.8988,Proposed
Franklin Ave and East 169th St,40.8314,-73.9022,Proposed
3rd Ave and East 168th St,40.8312,-73.906,Proposed
Park Ave and East 168th St,40.8318,-73.908,Proposed
Melrose Ave and East 163rd St,40.8255,-73.9132,Proposed
Washington Ave and East 165th St,40.827,-73.9093,Proposed
Franklin Ave and East 166th St,40.828,-73.9061,Proposed
Tinton Ave and East 166th St,40.8263,-73.9016,Proposed
3rd Ave and Boston Rd,40.8249,-73.9083,Proposed
Tinton Ave and East 165th St,40.8247,-73.9023,Proposed
Union Ave and East 163rd St,40.8224,-73.902,Proposed
Cauldwell Ave and Between East 163rd St and East 161st St,40.8227,-73.9071,Proposed
Between Trinity Ave and Tinton Ave and East 163rd St,40.823,-73.9041,Proposed